GO	Genes	Gene_Count	Term_Description	50perc_contaminated_Genes	100perc_contaminated_Genes	Genes enriched term id	Genes enriched term description	Genes adj p-value	Genes overlap over enriched	Genes overlaping genes	50perc_contaminated_Genes enriched term id	50perc_contaminated_Genes enriched term description	50perc_contaminated_Genes adj p-value	50perc_contaminated_Genes overlap over enriched	50perc_contaminated_Genes overlaping genes	100perc_contaminated_Genes enriched term id	100perc_contaminated_Genes enriched term description	100perc_contaminated_Genes adj p-value	100perc_contaminated_Genes overlap over enriched	100perc_contaminated_Genes overlaping genes
GO:0001892	GJB5 GRHL2 JUNB NR2F2 TTPA IGF2 MAP2K1 CEBPA TAF10 CCN1 CDX2 TRIM28 PLCD3 AKT1 CSF2 E2F8 WNT2 NODAL PLG NSDHL HEY1 CASP8 KRT19 LIF BMP5 MDFI GATA2 PCDH12 HEY2 SOCS3 HAND1 ZFP36L1 OVOL2 BMP7 ESRRB FZD5 MAPK1 CEBPB SNAI1 HS6ST1 NCOA1 ASCL2 MED1 STK3 STK4 PHLDA2 ST14 DNAJB6 RSPO3 PDGFB HES1 GCM1 LEF1 PKD2 SPINT2 CITED2 SP3 PRDM1 CDX4 WNT7B HIF1A VASH2 E2F7 IL10 EPAS1 PKD1 PLK4 ADM TMED2 BPTF BIRC6 GRB2 EOMES CITED1 TFEB SPINT1 ZNF568 KRT8 FBXW8 ARNT SOX15 CDKN1C RBPJ FGFR2 VASH1 GGNBP2 EGLN1 SETD2 EGFR	89	embryonic placenta development	HIF1A IL10 NR2F2 PLCD3 GRB2 CITED1 SPINT2 IGF2 RSPO3 ARNT WNT2 PCDH12 DNAJB6 JUNB NCOA1 CITED2 EPAS1 TFEB CEBPB MAP2K1 TRIM28 NODAL SETD2 BMP5 AKT1 GATA2 GCM1 CEBPA PKD2 MDFI MAPK1 CDX4 EOMES PLK4 GRHL2 STK3 NSDHL HS6ST1 GJB5 LEF1 ST14 HES1 TTPA BIRC6 GALNT14 DKK2 AIFM2 IQSEC2 CSH1 SCGB2A2 ZFP41 TRPV5 A4GALT EIF2B3 KLF17 ZNF354A CYBA NCK1 TRPC4 PARS2 OR5H1 PRMT2 SEC13 PPM1A PTCHD4 RHPN1 PCDHB12 ZBTB33 SUPT4H1 OTOG GPR156 PSMC6 DDX31 RPL39 VPREB1 MAP1A MAF ARSG CTNND1 COL28A1 CYP2E1 CPA5 RWDD3 CEP76 SCD5 GRN CHRNA7 KAT14 IL15RA	GNAS AZI2 CATSPERZ CWC25 GPBAR1 NISCH ARCN1 MARCHF1 KIF20B COPRS PLCL2 CTRL NSD2 IL17RA MLC1 OR1S2 SLCO4A1 TAMM41 CLK2 TRAPPC12 KCNA6 HSPA14 ACADL GPD2 CFAP36 STK38L NCOA6 PRAME ACTN3 TSEN2 PJA1 ELOB FER ARFRP1 ABCF3 PROKR2 CDIPT GRINA HJURP CHRNE ADAM23 ECD CNRIP1 PIGH MON2 FDX2 PLA2G4A ASCC2 HLCS ACADVL EID1 IL23R ARL6IP4 MALL EOGT BCCIP LDB1 EIF3A FUT11 GLMP CEACAM7 STRN3 PRAMEF6 PLPP2 OR3A1 B3GNT6 NFE2L3 JUN HDGF PTPRCAP OR1S1 LSM14A LIPK WNT5B G6PC1 ZNF79 RAET1L SEMA6B KRBOX5 USP17L5 ZNF202 KANSL2 ARR3 NUDCD3 MAGEF1 EVX1 PHLDA1 ZNF225 GALE	GO:0001892	embryonic placenta development	2.1256977817552317e-237	89/89	PLCD3,TFEB,VASH2,BPTF,HS6ST1,CITED2,ZFP36L1,MAP2K1,PLK4,CASP8,CCN1,WNT2,FGFR2,EGFR,HAND1,GJB5,LIF,SETD2,NCOA1,HEY2,PRDM1,EOMES,ST14,GRHL2,RSPO3,AKT1,PLG,GATA2,MAPK1,KRT19,SPINT1,EPAS1,IL10,ADM,CDKN1C,ESRRB,CDX2,E2F7,GRB2,SOCS3,CEBPA,JUNB,ASCL2,SPINT2,MDFI,NODAL,FZD5,KRT8,IGF2,TRIM28,LEF1,PDGFB,HIF1A,ZNF568,E2F8,HES1,SNAI1,HEY1,ARNT,BMP5,WNT7B,MED1,STK4,OVOL2,NR2F2,FBXW8,CEBPB,BIRC6,GGNBP2,SOX15,PHLDA2,CDX4,EGLN1,SP3,CSF2,CITED1,DNAJB6,TMED2,NSDHL,STK3,PCDH12,GCM1,TTPA,PKD2,PKD1,VASH1,RBPJ,BMP7,TAF10	GO:0001892	embryonic placenta development	1.4735936530907007e-77	44/89	MDFI,PLCD3,TFEB,RSPO3,NR2F2,AKT1,NODAL,GATA2,CEBPB,BIRC6,MAPK1,HS6ST1,EPAS1,CITED2,IGF2,IL10,MAP2K1,PLK4,CDX4,TRIM28,WNT2,LEF1,CITED1,DNAJB6,NSDHL,STK3,HIF1A,PCDH12,GCM1,GJB5,TTPA,GRB2,SETD2,HES1,PKD2,NCOA1,CEBPA,ARNT,JUNB,EOMES,ST14,BMP5,GRHL2,SPINT2	GO:0051083	'de novo' cotranslational protein folding	0.4901958777061888	1/2	HSPA14
GO:2000344	PLCB1 FAM170B PLB1 PLA2G10 CACNA1H GLRA1 CCDC87 PRSS37 IQCF1 ZP4 ZP3	11	positive regulation of acrosome reaction	PRSS37 FAM170B CACNA1H ZP4 ZP3 EPCIP B3GNT8 MRPS15 MKLN1 LIM2 RRN3	DUX1 IRX6 ZFP62 HAMP NRBP2 DDX23 C2orf69 CTAGE1 BEX1 HIF1A PRDX5	GO:2000344	positive regulation of acrosome reaction	1.041863125027576e-36	11/11	PLB1,CCDC87,PLCB1,GLRA1,CACNA1H,ZP4,PLA2G10,ZP3,PRSS37,IQCF1,FAM170B	GO:2000344	positive regulation of acrosome reaction	8.805198777216152e-12	5/11	CACNA1H,ZP4,ZP3,PRSS37,FAM170B	GO:0016241	regulation of macroautophagy	0.1002390122099775	2/158	NRBP2,HIF1A
GO:0035930	LINC02210-CRHR1 POMC CRH WNK4 CRHR1 AGTR1 REN GAL BMP6 CRY1 KCNQ1 GALR1 SELENOM GHRL AGT TSPO CRY2 PTPN11 C1QTNF1 DAB2	20	corticosteroid hormone secretion	PTPN11 SELENOM GAL KCNQ1 GHRL C1QTNF1 CRHR1 DAB2 GALR1 POMC TRIM56 CSF3 SUSD4 MAP2 CELF2 GIPC2 CSNK1G3 TMPRSS11E NCKAP1 SART1	CD300C MRPL54 MEGF6 MINAR1 SETMAR CTAGE9 NIPAL4 RCE1 MGMT TBC1D3H SEMA4F MND1 ENDOV RFX7 ELF3 PANK1 GOT2 CLN6 COPG1 AGBL3	GO:0035930	corticosteroid hormone secretion	1.0575873808587317e-63	20/20	PTPN11,BMP6,SELENOM,CRHR1,AGT,WNK4,GAL,POMC,TSPO,AGTR1,KCNQ1,CRH,CRY2,LINC02210-CRHR1,GHRL,C1QTNF1,GALR1,DAB2,CRY1,REN	GO:0035930	corticosteroid hormone secretion	8.596570139185241e-23	10/20	PTPN11,SELENOM,GAL,POMC,GHRL,C1QTNF1,GALR1,DAB2,CRHR1,KCNQ1	GO:0010911	regulation of isomerase activity	0.252186354421015	1/7	SETMAR
GO:0009744	CALCRL PNPLA3 SLC6A1 KHK ADIPOQ ERCC1	6	response to sucrose	SLC6A1 ADIPOQ CALCRL OR6V1 FBXL22 RACGAP1	SOX8 VPS36 SLC44A5 CLPS USH1G LARS1	GO:0009744	response to sucrose	2.529044649385264e-20	6/6	KHK,SLC6A1,PNPLA3,ERCC1,ADIPOQ,CALCRL	GO:0034285	response to disaccharide	3.34487894646636e-07	3/7	SLC6A1,ADIPOQ,CALCRL	GO:0043201	response to leucine	0.0965933050953867	1/15	LARS1
GO:0014043	BCL11A EDNRB TBX6	3	negative regulation of neuron maturation	BCL11A NDUFS1 MSI1	SELENOP SNAI2 TRAPPC11	GO:0014043	negative regulation of neuron maturation	6.094768569080815e-10	3/3	TBX6,EDNRB,BCL11A	GO:0014043	negative regulation of neuron maturation	0.0501300153843017	1/3	BCL11A	GO:0048208	COPII vesicle coating	0.0423210788715343	1/25	TRAPPC11
GO:0033141	IFNA1 IFNA6 LIF IFNA13 IFNA8 IFNA21 IFNE IFNA7 IFNA4 IFNK IFNW1 IFNB1 IFNA10 IFNG IFNA2 IFNA5 IFNA17 RET IFNA14 IFNA16	20	positive regulation of peptidyl-serine phosphorylation of STAT protein	IFNA5 LIF IFNA7 IFNA14 RET IFNA6 IFNW1 IFNE IFNK IFNB1 TRPV4 INSR SPPL3 CROT POM121L2 RPRD1B TSN KAT5 JMJD4 FIZ1	ERCC6L UBTFL1 LCE1E SHC3 USP22 OAS2 PKLR RBM27 OR11H12 GUCA1C BANK1 OR4S1 SDHD KCNC2 SMYD5 IL36RN ZNF236 CRIP1 DNAH6 ROR2	GO:0033141	positive regulation of peptidyl-serine phosphorylation of STAT protein	6.392659098783977e-64	20/20	IFNA4,IFNA8,IFNA13,IFNA14,IFNG,IFNA6,IFNA17,RET,IFNB1,IFNA10,LIF,IFNA21,IFNA7,IFNA16,IFNA5,IFNA2,IFNA1,IFNK,IFNE,IFNW1	GO:0033141	positive regulation of peptidyl-serine phosphorylation of STAT protein	8.004120157722404e-23	10/20	IFNA6,LIF,IFNK,IFNW1,IFNE,RET,IFNA14,IFNA7,IFNB1,IFNA5	GO:0010038	response to metal ion	0.4088704705283924	3/358	CRIP1,PKLR,KCNC2
GO:0003357	PHOX2A PHOX2B RNF220 SOX11 EDNRA EDN1 ASCL1 SOX4 INSM1 ZC4H2 HAND2	11	noradrenergic neuron differentiation	PHOX2B INSM1 RNF220 SOX4 EDNRA SSX2B RGS21 FUBP3 NCF4 ALPI COL5A3	LIN52 PWP1 TACR1 TRIM68 PPIP5K2 STK33 MATCAP1 KPNA6 PATL1 TMIE LIFR	GO:0003357	noradrenergic neuron differentiation	1.6082682714514073e-36	11/11	ZC4H2,EDN1,PHOX2A,RNF220,SOX4,SOX11,PHOX2B,INSM1,HAND2,EDNRA,ASCL1	GO:0003357	noradrenergic neuron differentiation	1.5122749932413918e-11	5/11	RNF220,SOX4,PHOX2B,INSM1,EDNRA	GO:0070120	ciliary neurotrophic factor-mediated signaling pathway	0.1186537464211363	1/5	LIFR
GO:0070202	CCT8 CCT5 CCT2 DKC1 CCT4 TERF1 CCT6A TCP1 SPIDR CCT3 WRAP53 CCT7	12	regulation of establishment of protein localization to chromosome	CCT3 SPIDR CCT4 CCT7 CCT8 TERF1 OR5T2 FAM13B MBTPS1 COPE OR1L8 SLITRK5	BAG2 OR8U3 COL9A1 HMGN2 HSCB CAPN6 TMEM125 PHF21A ACBD7 CRB2 ELAVL2 ZNF365	GO:0070202	regulation of establishment of protein localization to chromosome	2.744761796425694e-40	12/12	TERF1,CCT4,CCT3,WRAP53,TCP1,CCT7,CCT6A,CCT5,SPIDR,DKC1,CCT8,CCT2	GO:0070202	regulation of establishment of protein localization to chromosome	1.0852337822293614e-14	6/12	TERF1,CCT4,CCT3,CCT7,SPIDR,CCT8	GO:0048570	notochord morphogenesis	0.2915076418183291	1/8	CRB2
GO:0006098	RPIA TP53 TIGAR PGLS SHPK DERA RBKS RPEL1 RPTOR ACACB H6PD PGD PGAM1 G6PD MLST8 ALDOB MTOR TKT RPE PRPS2 TALDO1	21	pentose-phosphate shunt	RPEL1 RPTOR G6PD SHPK DERA TKT TP53 RBKS PGLS PGD AGAP4 PHF2 SLC10A7 PLA2G2F ANXA7 NCBP1 ZRSR2 NOBOX ASB1 CA7 TYR	SP140L IL4 SQLE NCK2 PTPRO ATG7 GAGE2B RBP3 MRGPRD ZKSCAN4 UTP4 GABARAPL2 ZNF20 NKX1-1 C10orf90 ARK2C FAM3C SLC9A7 TAL2 RPA3 CCSER2	GO:0006098	pentose-phosphate shunt	1.020947049070345e-66	21/21	TIGAR,RPEL1,PRPS2,MLST8,MTOR,PGLS,TKT,SHPK,G6PD,PGD,RPIA,DERA,H6PD,TALDO1,PGAM1,ACACB,RPTOR,ALDOB,RPE,TP53,RBKS	GO:0006098	pentose-phosphate shunt	2.6982462933010205e-22	10/21	SHPK,G6PD,PGD,RPTOR,TP53,DERA,RBKS,RPEL1,PGLS,TKT	GO:0006995	cellular response to nitrogen starvation	0.0719021534382242	2/11	ATG7,GABARAPL2
GO:0010232	LRP1 LRP3 SLC13A3 SLC7A8 SLC38A5 AVPR1B ABCB1 SLC22A8 APOE SLC6A20 SLC38A1 ABCC3 ATP2B4 SLC22A5 AGER SLC7A5 KCNJ8 SLC29A1 SLC22A1 SLC1A4 SLC5A6 SLC16A7 SLC6A17 SLC7A1 ABCC2 AVPR1A CD36 SLC6A13 SLC1A2 SLC4A3 SLC12A2 SLC1A1 SLC2A10 SLC29A2 SLC6A9 SLC2A4 INSR SLC22A2 ABCC4 SLC6A1 LRP2 SLC16A1 SLC2A13 SLC27A1 SLCO2B1 SLC27A4 SLC38A2 ATP2A3 ATP1B2 NHERF1 SLC1A5 SLC16A12 FABP5 SLC22A3 SLC2A1 SLCO3A1 TFRC SLC5A1 ATP1A2 ABCC9 SLC8A2 SLC1A3 SLC16A2 SLC29A4 SLC24A3 SLC2A3 SLC38A3 SLC6A6 ABCA2 SLC4A8 SLC15A2 SLC19A1 SLC7A3 SLC4A4 SLC5A5 SLC7A2 SLC28A2 SLC44A1 ABCC1 ABCG2 MFSD2A LEPR ATP8A1 ATP1A4 SLCO1C1 ABCC5	86	vascular transport	ABCC1 ABCA2 SLC4A4 INSR SLCO2B1 ATP8A1 KCNJ8 SLC38A2 SLC7A5 SLC8A2 SLC22A1 SLC16A12 SLC16A2 TFRC SLC19A1 SLC7A8 SLC29A4 AVPR1B ABCC3 SLC7A3 SLCO1C1 SLC6A20 MFSD2A SLC1A4 SLCO3A1 SLC2A1 SLC7A1 SLC22A5 SLC28A2 SLC2A3 SLC2A13 SLC12A2 SLC13A3 ABCG2 SLC1A1 SLC6A13 CD36 LEPR ABCC9 SLC2A4 SLC16A7 ABCC5 LRP2 HAT1 TMEM68 DHX15 OR5L1 RNF115 GAL3ST2 OR4D9 OTP RGS22 DOT1L BEX2 FAT1 CYB5B LRIT1 BLCAP CCDC68 MAGEC2 RNF39 HUS1 GPR132 ZCRB1 BNIP2 SYPL1 PNMA1 FAM3A NKX2-1 FZD6 SHOC1 AMTN MDH2 ZNF677 MTA1 HMG20B AKAP3 PM20D1 KSR2 LILRA4 FAH GOLGA8O THBS2 OR12D1 RTCA PCDHGA6	ZDHHC16 WBP11 MDC1 FCSK HS3ST2 TLR6 IKBKE DEGS1 DRC1 GPR162 PRM1 HTN1 ZNF577 OR1N1 IL21 MYT1 IFNA8 RBM47 DLGAP2 ISCA2 SRPK2 TCHP FEZ2 NXPH2 USP5 TRHR ADAMTSL3 PTBP2 ZNF443 OR4Q3 WDR55 OR12D3 ECI1 TYW1B LIG3 LPCAT1 ZNF440 DNAJB14 MAB21L1 DHX30 POLR2J3 BRK1 CALB1 BRCA2 GCNT1 LYPLAL1 KLK9 CLEC1A CASP14 TTC7B TTLL9 WNT1 ZNG1A SERPINE3 ALX3 DDB1 KLF3 GFI1 CCT7 LUZP1 CGRRF1 ZNF655 PAPOLG SPATA31C1 TIGD5 SPACA5B BBS10 RNF39 CYP2U1 C14orf39 RNF141 ELOVL2 TLL1 MSH6 INF2 ITGAE ZNF550 COIL INSYN1 E2F5 PCDHA5 ARMH4 GAS2L3 MRPL24 MGME1 L3MBTL3	GO:0010232	transport across blood-brain barrier	5.620003376460666e-231	86/86	SLC6A1,SLC7A1,FABP5,ABCC5,APOE,SLCO1C1,SLC22A2,SLC16A7,ATP1A4,AVPR1B,SLC44A1,AGER,SLC16A1,SLC38A1,SLC38A3,SLC2A13,ABCC3,SLC1A5,ABCC1,ABCB1,ABCA2,SLC22A5,SLC7A8,SLC1A3,SLC24A3,ATP1B2,TFRC,SLC6A17,LEPR,SLC2A3,SLC7A5,SLC16A2,SLC6A9,SLC5A1,SLC28A2,SLC22A3,SLC2A1,ABCG2,INSR,SLC6A20,ABCC4,SLC29A4,SLC4A8,SLC8A2,ATP8A1,SLC6A6,SLC38A5,SLC27A1,SLC7A2,SLC29A1,CD36,LRP2,SLC29A2,ATP1A2,SLC6A13,ABCC2,SLC2A10,ATP2B4,SLC7A3,AVPR1A,SLC4A4,SLC16A12,SLC22A8,SLCO2B1,SLC15A2,SLC12A2,ABCC9,SLC1A4,LRP1,SLC27A4,SLCO3A1,MFSD2A,SLC4A3,SLC19A1,LRP3,SLC13A3,SLC1A1,ATP2A3,SLC38A2,SLC1A2,KCNJ8,SLC22A1,SLC5A6,SLC5A5,NHERF1,SLC2A4	GO:0150104	transport across blood-brain barrier	3.387819395301068e-77	43/86	ATP8A1,ABCC9,SLC7A1,ABCC5,SLC1A4,TFRC,SLCO3A1,SLCO1C1,MFSD2A,LEPR,SLC16A7,SLC2A3,SLC16A2,SLC7A5,CD36,SLC8A2,LRP2,SLC19A1,AVPR1B,SLC13A3,SLC1A1,SLC28A2,SLC38A2,SLC2A1,SLC6A13,KCNJ8,SLC2A13,SLC7A3,ABCC3,ABCG2,INSR,SLC4A4,SLC22A1,SLC6A20,SLC16A12,ABCC1,SLC29A4,SLCO2B1,ABCA2,SLC12A2,SLC22A5,SLC7A8,SLC2A4	GO:1904871	positive regulation of protein localization to Cajal body	0.55138462588953	1/11	CCT7
GO:1903286	ATP1B1 ATP1B2 DLG1 ATP1B3	4	regulation of potassium ion import	DLG1 ATP1B3 CNKSR3 BFSP2	OR56B4 TANC2 YTHDC2 RHOD	GO:1903286	regulation of potassium ion import	1.6954095388376824e-13	4/4	ATP1B1,ATP1B2,DLG1,ATP1B3	GO:1903286	regulation of potassium ion import	0.0001088155047453	2/4	ATP1B3,DLG1	GO:0051729	germline cell cycle switching, mitotic to meiotic cell cycle	0.0855087303360421	1/3	YTHDC2
GO:0006548	HNMT CARNMT1 HAL HDC CARNS1 FTCD AMDHD1 UROC1	8	histidine catabolic process	AMDHD1 UROC1 CARNMT1 HNMT RAB2B DUSP7 SNAI2 ZCCHC7	CDH2 ARHGEF12 UGGT1 NRG3 AP2A2 EQTN TMEM53 MIOX	GO:0006548	histidine catabolic process	4.753617898318918e-28	8/8	UROC1,FTCD,CARNS1,HNMT,AMDHD1,HAL,HDC,CARNMT1	GO:0006548	histidine catabolic process	7.16736111056339e-10	4/8	UROC1,HNMT,AMDHD1,CARNMT1	GO:2000807	regulation of synaptic vesicle clustering	0.0829425032022232	1/6	CDH2
GO:0090659	CLN8 UCHL1 CHD7 HEXA GLRB ZNF212 GBX1 SPG11 FXN CACNB4 KLHL1 EPHA4 FKRP TRH GLRA1 EFNB3 AGTPBP1 CTNS HTRA2 ZMPSTE24 DRD1 HIPK2 ARRB2 SCN1A ZIC1 DRD2 DAB1 CEND1 KCNJ10 ABHD12 LARGE1 SPTBN4 OXR1 DMRT3 NPC1	35	walking behavior	CHD7 HTRA2 CEND1 HIPK2 KLHL1 DRD1 OXR1 NPC1 GLRB SPTBN4 EPHA4 CTNS LARGE1 FKRP ABHD12 DRD2 UCHL1 SAV1 MAGEA2 CARM1 ZFP1 NOX4 PNP RCN3 IFI35 OSR2 RUFY2 GALM SFRP1 POMT2 SEPTIN6 MTHFS PLEKHA3 CELA2B SYCP3	EFEMP1 LCOR RNF133 PSKH2 GNB2 BOC SLK KDM2B S100A12 FOXP3 GAD2 IL16 UNC13D GPR37L1 CLEC3A UBA52 LRRIQ1 EPOR SULT1A2 OR10H2 JMY IQCJ-SCHIP1 RAMP1 HCFC1 SLC25A22 SAMD7 MAP2K1 SPX MYO1B SAMD10 RHBDL3 POLE4 OR5L2 WNK1 GMFG	GO:0090659	walking behavior	1.906421552984398e-105	35/35	FKRP,DAB1,GLRA1,ARRB2,SPTBN4,SCN1A,KCNJ10,GBX1,DRD2,CACNB4,KLHL1,UCHL1,DMRT3,HTRA2,SPG11,HEXA,ZNF212,DRD1,TRH,HIPK2,NPC1,CEND1,FXN,CTNS,EFNB3,CLN8,ZMPSTE24,GLRB,EPHA4,ABHD12,CHD7,AGTPBP1,ZIC1,LARGE1,OXR1	GO:0090659	walking behavior	1.880114991559633e-35	17/35	FKRP,DRD1,NPC1,KLHL1,UCHL1,CEND1,GLRB,EPHA4,ABHD12,CHD7,CTNS,HTRA2,SPTBN4,DRD2,LARGE1,OXR1,HIPK2	GO:0060020	Bergmann glial cell differentiation	0.183416193130516	2/11	MAP2K1,GPR37L1
GO:0140588	SMC5 NSMCE3 NSMCE1 RAD21 NSMCE2 EID3 SLF2 NSMCE4A CTCF SMC6 SLF1	11	chromatin looping	NSMCE2 SLF1 NSMCE1 SLF2 EID3 NARS1 TANGO2 ZNF493 PPP1R12A GSTM5 OR11H4	OR5T1 SIX2 SLC10A3 VPS50 LRRN1 RPS12 KIF13B ANKRD2 RSPH6A WDFY4 ZNF670	GO:0140588	chromatin looping	3.879645007008764e-37	11/11	CTCF,RAD21,EID3,SMC5,NSMCE2,NSMCE3,NSMCE4A,SLF1,NSMCE1,SLF2,SMC6	GO:0140588	chromatin looping	5.458507372054729e-12	5/11	EID3,NSMCE2,SLF1,NSMCE1,SLF2	GO:0097168	mesenchymal stem cell proliferation	0.3032548706702798	1/8	SIX2
GO:0086091	KCNJ3 JUP CACNA1G KCNJ5 SCN3B KCNE4 AKAP9 CAMK2D CACNB2 SCN4B ANK2 DSG2 CAV1 KCND3 SCN2B CACNA1D CTNNA3 DSP KCNA5 SCN1B ACE ISL1 CACNA1C KCNQ1 KCNJ2 KCNE3 PKP2 DSC2 KCNE1 CACNA2D1 KCNE2 KCNH2 KCNH6 TRPM4 HCN4 SCN5A KCNE5 SRC BIN1 YWHAE	40	regulation of heart rate by cardiac conduction	KCNE2 SRC SCN3B SCN1B CTNNA3 ACE YWHAE CAV1 KCNA5 KCNE3 SCN4B SCN5A CACNA1D TRPM4 CACNA2D1 PKP2 AKAP9 KCNH2 KCNQ1 SCN2B MFSD10 ARL6IP5 NAGPA HOPX CACNG8 FOXI1 KHDRBS1 EMP3 STMND1 RTN2 PRKAR2B KLK13 AP1B1 ADGRL1 RIPK3 ADAMTS18 SPANXA2 PEPD LMTK2 SEC22B	GTF2A1L CCT3 C7 MT1E SP4 SEC23IP CNTNAP3B NUMBL RALY GALNT3 TINF2 RAB11FIP5 VGLL4 SYVN1 ZBTB38 HSF2BP SUSD6 FOCAD DHRS3 CUL4B MUS81 TGFB2 DGKB CCT8 TXNDC8 PLAC8 SYN3 POU2AF1 SRR FGFR1OP2 CDK18 SLCO2A1 VDAC1 PRAMEF11 LIN54 SCUBE3 PIGU FAM98B ZNF250 EED	GO:0086091	regulation of heart rate by cardiac conduction	9.61202838373849e-119	40/40	KCNJ5,KCNE2,CAV1,KCNJ3,DSG2,YWHAE,CACNA1G,AKAP9,KCND3,SCN2B,SCN4B,KCNE1,ANK2,SCN1B,CACNA2D1,KCNH2,BIN1,SCN3B,KCNE3,KCNQ1,KCNH6,CACNB2,ISL1,DSP,KCNE4,CACNA1D,KCNA5,KCNJ2,CTNNA3,SCN5A,SRC,KCNE5,ACE,CACNA1C,DSC2,CAMK2D,JUP,TRPM4,PKP2,HCN4	GO:0086091	regulation of heart rate by cardiac conduction	2.1106183850756636e-41	20/40	KCNE2,CAV1,YWHAE,AKAP9,SCN2B,SCN4B,SCN1B,CACNA2D1,KCNH2,SCN3B,KCNE3,KCNQ1,KCNA5,CACNA1D,CTNNA3,SCN5A,SRC,ACE,TRPM4,PKP2	GO:1904816	positive regulation of protein localization to chromosome, telomeric region	0.0447239859856967	2/12	CCT3,CCT8
GO:0048293	CLCF1 FOXP3 STAT6 BCL6 NDFIP1 IL4 TNFSF4	7	regulation of isotype switching to IgE isotypes	STAT6 BCL6 CLCF1 AP5S1 BCL11A DYTN DAZ2	RHOU CMTM7 GSTA5 RAMP3 GPRASP1 SLIT3 PLIN5	GO:0048293	isotype switching to IgE isotypes	5.7985662028780544e-24	7/7	NDFIP1,TNFSF4,CLCF1,STAT6,FOXP3,BCL6,IL4	GO:0048293	regulation of isotype switching to IgE isotypes	4.906872316756593e-07	3/7	CLCF1,BCL6,STAT6	GO:0035359	negative regulation of peroxisome proliferator activated receptor signaling pathway	0.058901005032302	1/3	PLIN5
GO:0000022	CDCA8 AURKB AURKC RACGAP1 MAP10 NUMA1 INCENP KIF4A KIF23 PRC1 KIF4B BIRC5	12	mitotic spindle elongation	AURKB BIRC5 PRC1 RACGAP1 KIF4A NUMA1 STRC SDHAF3 NEK8 ADAMTSL2 ZNF714 FNTA	ERCC6L2 IFNA4 IL20RA MARVELD1 CRY2 MRPL3 G0S2 KHDRBS3 MOSPD2 CHRNA7 CTTNBP2 SMAD1	GO:0000022	mitotic spindle elongation	4.238951650101219e-40	12/12	KIF4A,AURKB,PRC1,KIF4B,MAP10,CDCA8,BIRC5,INCENP,AURKC,KIF23,NUMA1,RACGAP1	GO:0000022	mitotic spindle elongation	1.6177554753698155e-14	6/12	KIF4A,AURKB,PRC1,BIRC5,NUMA1,RACGAP1	GO:0140042	lipid droplet formation	0.2100658869002004	1/14	MOSPD2
GO:1905278	FGF2 MMRN2 GATA3 GDNF EGF PIK3CD SIX1 SIX4	8	positive regulation of epithelial tube formation	EGF MMRN2 FGF2 GDNF EIF4EBP1 CRISP1 EHD4 ERCC2	GCNA HABP4 SLC30A7 GYS1 DNMT3A PPP1R9A TULP4 GNGT2	GO:1905278	positive regulation of epithelial tube formation	7.531334381071539e-27	8/8	PIK3CD,SIX4,EGF,GDNF,GATA3,SIX1,FGF2,MMRN2	GO:1905278	positive regulation of epithelial tube formation	1.364878336484239e-09	4/8	FGF2,GDNF,MMRN2,EGF	GO:0090116	C-5 methylation of cytosine	0.0883371101672977	1/5	DNMT3A
GO:0060768	EAF2 NKX3-1 AR CTNNB1 NOTCH1 SHH WDR77 SERPINF1 STK11 CDKN1B	10	regulation of epithelial cell proliferation involved in prostate gland development	WDR77 STK11 EAF2 CTNNB1 NKX3-1 ND5 GNB2 GPR173 CC2D2B GTF2H2C_2	GUCY1A1 TMUB2 TLX1 TOB1 HJURP TDRD7 PMFBP1 PPM1N NOTCH3 STYK1	GO:0060768	regulation of epithelial cell proliferation involved in prostate gland development	3.354526316428064e-33	10/10	SERPINF1,EAF2,STK11,NOTCH1,SHH,WDR77,CDKN1B,AR,CTNNB1,NKX3-1	GO:0060767	epithelial cell proliferation involved in prostate gland development	5.751426391792252e-12	5/11	EAF2,STK11,WDR77,CTNNB1,NKX3-1	GO:0099543	trans-synaptic signaling by soluble gas	0.1172426475536108	1/3	GUCY1A1
